Change Component Footprint: Designator=J2 Old Footprint=SHDRRA4W45P0X250_1X4_1240X790X510P New Footprint=653104124022
Change Component Comment : Designator=R10 Old Comment=4.7K New Comment=CRCW08054K70FKEAHP
Change Component Comment : Designator=R11 Old Comment=4.7K New Comment=CRCW08054K70FKEAHP
Change Component Comment : Designator=R17 Old Comment=4.7K New Comment=CRCW08054K70FKEAHP
Change Component Comment : Designator=R18 Old Comment=4.7K New Comment=CRCW08054K70FKEAHP
Change Component Comment : Designator=R19 Old Comment=4.7K New Comment=CRCW08054K70FKEAHP
Change Component Comment : Designator=R20 Old Comment=4.7K New Comment=CRCW08054K70FKEAHP
Change Component Comment : Designator=R21 Old Comment=4.7K New Comment=CRCW08054K70FKEAHP
Change Component Comment : Designator=R22 Old Comment=4.7K New Comment=CRCW08054K70FKEAHP
Change Component Comment : Designator=R23 Old Comment=4.7K New Comment=CRCW08054K70FKEAHP
Change Component Comment : Designator=R24 Old Comment=4.7K New Comment=CRCW08054K70FKEAHP
Change Component Comment : Designator=R8 Old Comment=10k New Comment=CRCW080510K0FKEAHP
Change Component Comment : Designator=R9 Old Comment=10k New Comment=CRCW080510K0FKEAHP
Change Component Comment : Designator=R12 Old Comment=10k New Comment=CRCW080510K0FKEAHP
Change Component Comment : Designator=R32 Old Comment=10k New Comment=CRCW080510K0FKEAHP
Change Component Comment : Designator=R26 Old Comment=39K New Comment=CRCW080539K0FKEA
Change Component Comment : Designator=R27 Old Comment=39K New Comment=CRCW080539K0FKEA
Change Component Comment : Designator=R28 Old Comment=39K New Comment=CRCW080539K0FKEA
Change Component Comment : Designator=R29 Old Comment=39K New Comment=CRCW080539K0FKEA
Change Component Comment : Designator=R30 Old Comment=39K New Comment=CRCW080539K0FKEA
Change Component Comment : Designator=C7 Old Comment=80-C0805C105K5R New Comment=C0805C105K5RACTU
Change Component Comment : Designator=C8 Old Comment=80-C0805C105K5R New Comment=C0805C105K5RACTU
Change Component Comment : Designator=C9 Old Comment=100nF New Comment=C0805C104K4RACTU
Change Component Comment : Designator=C13 Old Comment=100nF New Comment=C0805C104K4RACTU
Change Component Comment : Designator=C14 Old Comment=100nF New Comment=C0805C104K4RACTU
Change Component Comment : Designator=R7 Old Comment=ERA-6VEB1300V New Comment=ERA-6VEB2201V
Change Component Comment : Designator=R13 Old Comment=ERA-6VEB1300V New Comment=ERA-6VEB2201V
Change Component Comment : Designator=R14 Old Comment=ERA-6VEB1300V New Comment=ERA-6VEB2201V
Change Component Comment : Designator=R15 Old Comment=ERA-6VEB1300V New Comment=ERA-6VEB2201V
Change Component Comment : Designator=R16 Old Comment=ERA-6VEB1300V New Comment=ERA-6VEB2201V
