Change Physical Footprint: Designator=C1 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C2 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C3 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C4 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C5 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C6 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C7 Old Footprint=CAPC2012X140N New Footprint=CAPC2012X140N
Change Physical Footprint: Designator=C8 Old Footprint=CAPC2012X140N New Footprint=CAPC2012X140N
Change Physical Footprint: Designator=C9 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C10 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C11 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C12 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C13 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C14 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C15 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C16 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C17 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C18 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C19 Old Footprint=CAPC2012X140N New Footprint=CAPC2012X140N
Change Physical Footprint: Designator=C20 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C21 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C22 Old Footprint=CAPC2013X140N New Footprint=CAPC2013X140N
Change Physical Footprint: Designator=D1 Old Footprint=SMDLX5050RGBTR New Footprint=SMDLX5050RGBTR
Change Physical Footprint: Designator=D2 Old Footprint=SOT95P255X150-3N New Footprint=SOT95P255X150-3N
Change Physical Footprint: Designator=D3 Old Footprint=SOT95P255X150-3N New Footprint=SOT95P255X150-3N
Change Physical Footprint: Designator=DC1 Old Footprint=SOT95P282X145-5N New Footprint=SOT95P282X145-5N
Change Physical Footprint: Designator=IC1 Old Footprint=QFN50P300X300X80-17N New Footprint=QFN50P300X300X80-17N
Change Physical Footprint: Designator=IC2 Old Footprint=SOIC127P600X175-8N New Footprint=SOIC127P600X175-8N
Change Physical Footprint: Designator=IC3 Old Footprint=SOIC127P1032X265-16N New Footprint=SOIC127P1032X265-16N
Change Physical Footprint: Designator=IC4 Old Footprint=QFP50P1200X1200X160-64N New Footprint=QFP50P1200X1200X160-64N
Change Physical Footprint: Designator=J1 Old Footprint=SHDR2W64P0X250_1X2_746X650X700P New Footprint=SHDR2W64P0X250_1X2_746X650X700P
Change Physical Footprint: Designator=J2 Old Footprint=SHDR4W64P0X250_1X4_1246X650X700P New Footprint=SHDR4W64P0X250_1X4_1246X650X700P
Change Physical Footprint: Designator=J3 Old Footprint=S8421-45R_1 New Footprint=S8421-45R_1
Change Physical Footprint: Designator=J4 Old Footprint=SHDR2W64P0X250_1X2_746X650X700P New Footprint=SHDR2W64P0X250_1X2_746X650X700P
Change Physical Footprint: Designator=J5 Old Footprint=SHDR7W64P0X250_1X7_1996X650X700P New Footprint=SHDR7W64P0X250_1X7_1996X650X700P
Change Physical Footprint: Designator=J6 Old Footprint=SHDR4W64P0X250_1X4_1246X650X700P New Footprint=SHDR4W64P0X250_1X4_1246X650X700P
Change Physical Footprint: Designator=J7 Old Footprint=0353120560 New Footprint=0353120560
Change Physical Footprint: Designator=J8 Old Footprint=MEM20750014001A New Footprint=MEM20750014001A
Change Physical Footprint: Designator=J9 Old Footprint=FTSH-105-XX-YYY-DV-K-P New Footprint=FTSH-105-XX-YYY-DV-K-P
Change Physical Footprint: Designator=J10 Old Footprint=HDRV2W66P0X254_1X2_508X254X874P New Footprint=HDRV2W66P0X254_1X2_508X254X874P
Change Physical Footprint: Designator=J11 Old Footprint=HDRV2W66P0X254_1X2_508X254X874P New Footprint=HDRV2W66P0X254_1X2_508X254X874P
Change Physical Footprint: Designator=L1 Old Footprint=CAPC2012X110N New Footprint=CAPC2012X110N
Change Physical Footprint: Designator=L2 Old Footprint=CAPC2012X110N New Footprint=CAPC2012X110N
Change Physical Footprint: Designator=LED1 Old Footprint=KPTD3216SURCK New Footprint=KPTD3216SURCK
Change Physical Footprint: Designator=LED2 Old Footprint=KPTD3216SURCK New Footprint=KPTD3216SURCK
Change Physical Footprint: Designator=LED3 Old Footprint=LTH5MM12VFR4100 New Footprint=LTH5MM12VFR4100
Change Physical Footprint: Designator=LED4 Old Footprint=LTH5MM12VFR4100 New Footprint=LTH5MM12VFR4100
Change Physical Footprint: Designator=LED5 Old Footprint=LTH5MM12VFR4100 New Footprint=LTH5MM12VFR4100
Change Physical Footprint: Designator=LED6 Old Footprint=LTH5MM12VFR4100 New Footprint=LTH5MM12VFR4100
Change Physical Footprint: Designator=Q1 Old Footprint=SOT96P240X120-3N New Footprint=SOT96P240X120-3N
Change Physical Footprint: Designator=Q2 Old Footprint=SOT96P240X120-3N New Footprint=SOT96P240X120-3N
Change Physical Footprint: Designator=Q3 Old Footprint=SOT96P240X120-3N New Footprint=SOT96P240X120-3N
Change Physical Footprint: Designator=Q4 Old Footprint=SOT96P240X120-3N New Footprint=SOT96P240X120-3N
Change Physical Footprint: Designator=Q5 Old Footprint=SOT96P240X120-3N New Footprint=SOT96P240X120-3N
Change Physical Footprint: Designator=R1 Old Footprint=PTV09A4020FB103 New Footprint=PTV09A4020FB103
Change Physical Footprint: Designator=R2 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R3 Old Footprint=RESC2012X60N New Footprint=RESC2012X60N
Change Physical Footprint: Designator=R4 Old Footprint=RESC2012X60N New Footprint=RESC2012X60N
Change Physical Footprint: Designator=R5 Old Footprint=RESC2012X65N New Footprint=RESC2012X65N
Change Physical Footprint: Designator=R6 Old Footprint=RESC2012X65N New Footprint=RESC2012X65N
Change Physical Footprint: Designator=R7 Old Footprint=RESC2012X65N New Footprint=RESC2012X65N
Change Physical Footprint: Designator=R8 Old Footprint=RESC2012X60N New Footprint=RESC2012X60N
Change Physical Footprint: Designator=R9 Old Footprint=RESC2012X60N New Footprint=RESC2012X60N
Change Physical Footprint: Designator=R10 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R11 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R12 Old Footprint=RESC2012X60N New Footprint=RESC2012X60N
Change Physical Footprint: Designator=R13 Old Footprint=RESC2012X65N New Footprint=RESC2012X65N
Change Physical Footprint: Designator=R14 Old Footprint=RESC2012X65N New Footprint=RESC2012X65N
Change Physical Footprint: Designator=R15 Old Footprint=RESC2012X65N New Footprint=RESC2012X65N
Change Physical Footprint: Designator=R16 Old Footprint=RESC2012X65N New Footprint=RESC2012X65N
Change Physical Footprint: Designator=R17 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R18 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R19 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R20 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R21 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R22 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R23 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R24 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R25 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R26 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R27 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R28 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R29 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R30 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R31 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R32 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R33 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R34 Old Footprint=RESC2012X50N New Footprint=RESC2012X50N
Change Physical Footprint: Designator=R35 Old Footprint=RESC2012X60N New Footprint=RESC2012X60N
Change Physical Footprint: Designator=R36 Old Footprint=RESC2012X60N New Footprint=RESC2012X60N
Change Physical Footprint: Designator=RN1 Old Footprint=EXBV8V104JV New Footprint=EXBV8V104JV
Change Physical Footprint: Designator=S1 Old Footprint=SS1015SPE New Footprint=SS1015SPE
Change Physical Footprint: Designator=S2 Old Footprint=DM01V New Footprint=DM01V
Change Physical Footprint: Designator=S3 Old Footprint=2184LPSTJRF New Footprint=2184LPSTJRF
Change Physical Footprint: Designator=S4 Old Footprint=PMS9P1B10M2QE New Footprint=PMS9P1B10M2QE
Change Physical Footprint: Designator=S5 Old Footprint=BB15APFA New Footprint=BB15APFA
Change Physical Footprint: Designator=S6 Old Footprint=MHS12204 New Footprint=MHS12204
Change Physical Footprint: Designator=S7 Old Footprint=FSM2J_1 New Footprint=FSM2J_1
Change Physical Footprint: Designator=Y1 Old Footprint=CSTLS8M00G53A0 New Footprint=CSTLS8M00G53A0
