"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"Y1","CSTLS8M00G53A0","1609mil","1635mil","1609mil","1635mil","1609mil","1733.425mil","T","90.00","CSTLS8M00G53-A0"
"S8","FSM2J_1","1250mil","2145mil","1250mil","2145mil","1070.866mil","2233.583mil","T","90.00","2-1437565-8"
"S7","MHS12204","3332.52mil","3591.307mil","3490mil","3548mil","3490mil","3548mil","B","0.00","MHS12204"
"S6","BB15APFA","304.009mil","714.6mil","204.009mil","714.6mil","204.009mil","714.6mil","T","270.00","BB15AP-FA"
"S5","TS0266150BK100LCRD","3332.519mil","1094.417mil","3460.472mil","1183mil","3460.472mil","1183mil","B","180.00","TS02-66-150-BK-100-LCR-D"
"S4","2184LPSTJRF","2309mil","2914mil","2309mil","2914mil","2384mil","2994.709mil","T","180.00","218-4LPSTJRF"
"S3","DM01V","2105.276mil","3217mil","2105.276mil","3217mil","1930.079mil","3217mil","T","270.00","DM-01-V"
"S1","MHS12204","3332.52mil","2354.87mil","3490mil","2311.563mil","3490mil","2311.563mil","B","0.00","MHS12204"
"RN1","EXBV8V104JV","2013mil","2911mil","2013mil","2911mil","1983.472mil","2958.244mil","T","270.00","EXB-V8V104JV"
"R36","RESC2012X60N","1744mil","2143mil","1744mil","2143mil","1744mil","2105.598mil","T","90.00","CRCW080510K0FKEAHP"
"R35","RESC2012X60N","2479mil","1185mil","2479mil","1185mil","2479mil","1222.402mil","T","270.00","CRCW080510K0FKEAHP"
"R34","RESC2012X50N","2563.775mil","1185mil","2563.775mil","1185mil","2563.775mil","1224.37mil","T","270.00","CRCW080539K0FKEA"
"R33","RESC2012X50N","2646.581mil","1185mil","2646.581mil","1185mil","2646.581mil","1224.37mil","T","270.00","CRCW080539K0FKEA"
"R32","RESC2012X50N","2792.387mil","1185mil","2792.387mil","1185mil","2792.387mil","1224.37mil","T","270.00","CRCW080539K0FKEA"
"R31","RESC2012X50N","2875.194mil","1185mil","2875.194mil","1185mil","2875.194mil","1224.37mil","T","270.00","CRCW080539K0FKEA"
"R30","RESC2012X50N","2958mil","1185mil","2958mil","1185mil","2958mil","1224.37mil","T","270.00","CRCW080539K0FKEA"
"R29","RESC2012X50N","1124mil","1821mil","1124mil","1821mil","1084.63mil","1821mil","T","0.00","CRCW080539K0FKEA"
"R28","RESC2012X50N","585mil","3032mil","585mil","3032mil","585mil","2992.63mil","T","90.00","CRCW0805100RFKEAHP"
"R27","RESC2012X50N","669.6mil","3032mil","669.6mil","3032mil","669.6mil","2992.63mil","T","90.00","CRCW0805100RFKEAHP"
"R26","RESC2012X50N","754.2mil","3032mil","754.2mil","3032mil","754.2mil","2992.63mil","T","90.00","CRCW08054K70FKEAHP"
"R25","RESC2012X50N","838.8mil","3032mil","838.8mil","3032mil","838.8mil","2992.63mil","T","90.00","CRCW08054K70FKEAHP"
"R24","RESC2012X50N","923.4mil","3032mil","923.4mil","3032mil","923.4mil","3071.37mil","T","270.00","CRCW08054K70FKEAHP"
"R23","RESC2012X50N","1008mil","3032mil","1008mil","3032mil","1008mil","3071.37mil","T","270.00","CRCW08054K70FKEAHP"
"R22","RESC2012X50N","1231mil","3032mil","1231mil","3032mil","1231mil","2992.63mil","T","90.00","CRCW0805100RFKEAHP"
"R21","RESC2012X50N","1314.6mil","3032mil","1314.6mil","3032mil","1314.6mil","2992.63mil","T","90.00","CRCW0805100RFKEAHP"
"R20","RESC2012X50N","1398.2mil","3032mil","1398.2mil","3032mil","1398.2mil","2992.63mil","T","90.00","CRCW08054K70FKEAHP"
"R19","RESC2012X50N","1481.8mil","3032mil","1481.8mil","3032mil","1481.8mil","2992.63mil","T","90.00","CRCW08054K70FKEAHP"
"R18","RESC2012X50N","1565.4mil","3032mil","1565.4mil","3032mil","1565.4mil","3071.37mil","T","270.00","CRCW08054K70FKEAHP"
"R17","RESC2012X50N","1649mil","3032mil","1649mil","3032mil","1649mil","3071.37mil","T","270.00","CRCW08054K70FKEAHP"
"R16","RESC2012X60N","303.009mil","1052mil","303.009mil","1052mil","340.411mil","1052mil","T","180.00","RT0805FRE0768RL"
"R15","RESC2012X60N","303.009mil","1711.333mil","303.009mil","1711.333mil","340.411mil","1711.333mil","T","180.00","RT0805FRE13150RL"
"R14","RESC2012X60N","303.009mil","2370.667mil","303.009mil","2370.667mil","340.411mil","2370.667mil","T","180.00","RT0805FRE13150RL"
"R13","RESC2012X60N","303.009mil","3030mil","303.009mil","3030mil","340.411mil","3030mil","T","180.00","RT0805FRE13150RL"
"R12","RESC2012X60N","3042mil","3254mil","3042mil","3254mil","3042mil","3216.598mil","T","90.00","CRCW080510K0FKEAHP"
"R11","RESC2012X50N","2898mil","1788mil","2898mil","1788mil","2858.63mil","1788mil","T","0.00","CRCW08054K70FKEAHP"
"R10","RESC2012X50N","2898mil","1606mil","2898mil","1606mil","2937.37mil","1606mil","T","180.00","CRCW08054K70FKEAHP"
"R9","RESC2012X60N","303.009mil","390mil","303.009mil","390mil","265.608mil","390mil","T","360.00","CRCW080510K0FKEAHP"
"R8","RESC2012X60N","3332.519mil","1455mil","3332.519mil","1455mil","3295.118mil","1455mil","T","360.00","CRCW080510K0FKEAHP"
"R7","RESC2012X65N","2507mil","624mil","2507mil","624mil","2507mil","661.402mil","T","270.00","ERA-6VEB2201V"
"R6","RESC2012X65N","2592.819mil","622mil","2592.819mil","622mil","2592.819mil","584.598mil","T","90.00","ERA-6VEB2201V"
"R5","RESC2012X65N","2429mil","3178mil","2429mil","3178mil","2429mil","3140.598mil","T","90.00","KTR10EZPJ121"
"R4","RESC2012X60N","3202mil","2699mil","3202mil","2699mil","3239.402mil","2699mil","T","180.00","CRCW0805100KFKEAC"
"R3","RESC2012X60N","3202mil","2613mil","3202mil","2613mil","3164.598mil","2613mil","T","360.00","CRCW0805100KFKEAC"
"R2","RESC2012X50N","2567mil","2828.158mil","2567mil","2828.158mil","2567mil","2788.788mil","T","90.00","CRCW0805634KFKEA"
"R1","RESC2012X60N","2867mil","2458mil","2867mil","2458mil","2829.598mil","2458mil","T","360.00","CRCW080510K0FKEAHP"
"Q4","SOT96P240X120-3N","815.135mil","2656mil","815.135mil","2656mil","777.34mil","2614.661mil","T","90.00","2N7002"
"Q3","SOT96P240X120-3N","1249.169mil","2656mil","1249.169mil","2656mil","1211.374mil","2614.661mil","T","90.00","2N7002"
"Q2","SOT96P240X120-3N","1466.186mil","2656mil","1466.186mil","2656mil","1428.391mil","2614.661mil","T","90.00","2N7002"
"Q1","SOT96P240X120-3N","3332.519mil","2028mil","3332.519mil","2028mil","3370.315mil","2069.339mil","T","270.00","2N7002"
