Comment,Description,Designator,Footprint,LibRef,Quantity

"10uF","Capacitor","C1","CAPC2012X145N","VJ0805Y104KXAAT","1"
"100nF","Capacitor","C2","CAPC2012X88N","C0805C104K4RACTU","1"
"1N4148W-E3-08","Diode","D1","SOD3716X135N","1N4148W-E3-08","1"
"LAP-601VL","Display","DS1, DS2, DS3, DS4, DS5, DS6, DS7, DS8, DS9, DS10","DIPS1524W50P254L1225H830Q10N","LAP-601VL","10"
"3 Digit 14 Segement","","DSP1","3 DIGIT 14 SEGMENT","3 Digit 14 Segement","1"
"HT16K33-28SOP","Integrated Circuit","IC1","SOIC127P1031X264-28N","HT16K33-28SOP","1"
"35312-0460","Connector","J1","SHDR4W64P0X250_1X4_1246X650X700P","35312-0460","1"
"L-934LYD-18.5HSF","LED","LED1, LED2, LED3, LED4","L934LYD185HSF","L-934LYD-18.5HSF","4"
"4.7K","Resistor","R1, R2","RESC2012X50N","CRCW08054K70FKEAHP","2"
"200","Resistor","R3, R4, R8, R9","RESC2012X60N","ERA-6AEB201V","4"
"CRCW080539K0FKEA","Resistor","R5, R6, R7","RESC2012X50N","CRCW080539K0FKEA","3"
"A6S-3102-H","Switch","S1","SOP254P980X380-6N","A6S-3102-H","1"
